Movie Title,Director,Count,Picked By
Days of Heaven,Terrence Malick,5,"KAHLIL JOSEPH, ETHEL CAIN, AMY IRVING, MAYA AND ETHAN HAWKE, THE WOLFPACK"
The Color of Pomegranates,Sergei Parajanov,5,"KAHLIL JOSEPH, DAVID BYRNE, NORMAN REEDUS, REBECCA MILLER, CAULEEN SMITH"
Defending Your Life,Albert Brooks,5,"CLAIRE DANES, BILLY CRUDUP, SETH ROGEN & EVAN GOLDBERG, JUDD APATOW, LENA DUNHAM"
12 Angry Men,Sidney Lumet,5,"BILLY CRUDUP, NICHOLAS HOULT, AMELIA DIMOLDENBERG, ​LUIS GUZMÁN, KEMP POWERS"
Thelma & Louise,Ridley Scott,5,"ETHEL CAIN, MARGARET QUALLEY, AIMEE LOU WOOD, ZOË KRAVITZ AND CHANNING TATUM, TRACE LYSETTE"
Blow-Up,Michelangelo Antonioni,5,"ALICIA SILVERSTONE, GAEL GARCIA BERNAL, HLYNUR PÁLMASON, CAULEEN SMITH, RAÚL CASTILLO"
Badlands,Terrence Malick,5,"BEN AFFLECK, SETH ROGEN & EVAN GOLDBERG, ERIC BANA, M.I.A. AND STEPHEN LOVERIDGE, RON SHELTON"
The Daytrippers,Greg Mottola,5,"SETH ROGEN & EVAN GOLDBERG, LENA DUNHAM, DAN LEVY, BILL HADER, YO LA TENGO"
White Material,Claire Denis,5,"MATT DILLON, MARIANNE JEAN-BAPTISTE & MIKE LEIGH, JACQUELINE NOVAK AND JOHN EARLY, JOACHIM TRIER, RENATE REINSVE"
Raging Bull,Martin Scorsese,5,"JAMIE LEE CURTIS, NATASHA LYONNE, WALTER SALLES, JOHNNIE TO, RODRIGO PRIETO"
Fanny and Alexander,Collector’s Set,5,"RONAN FARROW, EDWARD BERGER, KIM CATTRALL, PHILIP KAUFMAN, RUBEN ÖSTLUND"
