Movie Title,Director,Count,Picked By
Devil in a Blue Dress,Carl Franklin,7,"CATE BLANCHETT AND TODD FIELD, FRANKLIN LEONARD, GINA PRINCE-BYTHEWOOD, JEREMY POPE, NATASHA LYONNE, RICKIE LEE JONES, RYAN COOGLER"
Trilogy of Life,Pier Paolo Pasolini,7,"ALEC BALDWIN, CHARLOTTE RAMPLING AND ANDREW HAIGH, LAURIE ANDERSON, NATASHA LYONNE, PAYAL KAPADIA, SARITA CHOUDHURY, SAUL WILLIAMS AND ANISIA UZEYMAN"
Sunday Bloody Sunday,John Schlesinger,7,"CHARLOTTE RAMPLING AND ANDREW HAIGH, FIVE COMICS, LAURIE ANDERSON, MARK BRIDGES, NATASHA LYONNE, TODD HAYNES, WILLIAM FRIEDKIN"
McCabe & Mrs. Miller,Robert Altman,6,"BETSEY JOHNSON, GRIFFIN DUNNE, KERRY CONDON, LAURA DERN, MARC MARON, VIGGO MORTENSEN"
Fanny and Alexander,Ingmar Bergman,6,"EDWARD BERGER, KIM CATTRALL, LAURA DERN, PHILIP KAUFMAN, RONAN FARROW, RUBEN ÖSTLUND"
America Lost and Found: The BBS Story,Collector’s Set,6,"AUBREY PLAZA AND JEFF BAENA, EDGAR WRIGHT, LAURA DERN, MICHAEL SHANNON, ROBERT DOWNEY SR., WILCO"
Berlin Alexanderplatz,Rainer Werner Fassbinder,6,"BARBARA SUKOWA, ETHAN HAWKE AND JONATHAN MARC SHERMAN, JODIE FOSTER, MIKE LEIGH, PABLO LARRAÍN, TRACY LETTS"
Stranger Than Paradise,Jim Jarmusch,6,"ANDRÉ BONZEL, GREGG ARAKI, NURI BILGE CEYLAN, SLAVOJ ŽIŽEK, WALTER SALLES, WILL ARNETT"
My Darling Clementine,John Ford,6,"ARI ASTER, BILL HADER, BILLY CRUDUP, MARC MARON, RYUSUKE HAMAGUCHI, TED DANSON & MARY STEENBURGEN"
A Man Escaped,Robert Bresson,6,"BILL HADER, CATE BLANCHETT AND TODD FIELD, DAVID REMNICK, GARRETT BRADLEY, JENNIFER KENT, JOSH AND BENNY SAFDIE"
Women on the Verge of a Nervous Breakdown,Pedro Almodóvar,6,"HARI NEF, PAUL B. PRECIADO, RACHEL SENNOTT, RODRIGO PRIETO, ST. VINCENT, TRACE LYSETTE"
To Die For,Gus Van Sant,6,"CHERYL DUNYE, ELLE FANNING, HARRIS DICKINSON, MARGARET QUALLEY, RACHEL SENNOTT, ST. VINCENT"
Picnic at Hanging Rock,Peter Weir,6,"BONG JOON HO, ETHEL CAIN, FLORENCE WELCH, JACQUELINE NOVAK AND JOHN EARLY, MAYA AND ETHAN HAWKE, SLAVOJ ŽIŽEK"
Notorious,Alfred Hitchcock,6,"GUILLERMO DEL TORO, JACQUES AUDIARD, KATHRYN BIGELOW, RONAN FARROW, THEODORE WITCHER, TYLER MITCHELL"
Come and See,Elem Klimov,6,"CALLUM TURNER, GRIFFIN DUNNE, JERZY SKOLIMOWSKI, NIA DACOSTA, ROGER & JAMES DEAKINS, SALLY POTTER"
Husbands,John Cassavetes,6,"BARBARA SUKOWA, BENNY SAFDIE, DICK CAVETT, ELVIS MITCHELL, JAY DUPLASS, MAYA AND ETHAN HAWKE"
Le samouraï,Jean-Pierre Melville,6,"CHARLES MELTON, JOSEPH KOSINSKI, LAV DIAZ, PATTON OSWALT, RAÚL CASTILLO, YORGOS LANTHIMOS & ARIANE LABED"
The Color of Pomegranates,Sergei Parajanov,6,"CAULEEN SMITH, DAVID BYRNE, KAHLIL JOSEPH, NORMAN REEDUS, REBECCA MILLER, ROBERT EGGERS"
Mulholland Dr.,David Lynch,6,"ALAIN GUIRAUDIE, BILLY CRUDUP, JENNIFER KENT, MATTEO GARRONE, RENATE REINSVE, ROSE BYRNE"
"Paris, Texas",Wim Wenders,6,"BOWEN YANG, CARRIE COON, ETHAN HAWKE AND JONATHAN MARC SHERMAN, KOJI YAKUSHO, PATRICK BRICE, ROSE BYRNE"
Memories of Underdevelopment,Tomás Gutiérrez Alea,6,"DANNY BOYLE, GAEL GARCIA BERNAL, JENNI OLSON, MATT DILLON, WAGNER MOURA, WALTER SALLES"
Traffic,Steven Soderbergh,6,"BEN AFFLECK, CHRISTIAN PETZOLD, JOSH BROLIN, PAUL W. DOWNS, RAÚL CASTILLO, THE WOLFPACK"
Sid & Nancy,Alex Cox,6,"ALAN PALOMO, ELEGANCE BRATTON, HANS ZIMMER, JOSH BROLIN, MARY HARRON, ROGER & JAMES DEAKINS"
No Country for Old Men,Joel Coen and Ethan Coen,6,"ARI ASTER, BILLY CRUDUP, JAY DUPLASS, JOSH BROLIN, KARYN KUSAMA, NICHOLAS HOULT"
The Before Trilogy,Richard Linklater,6,"AIMEE LOU WOOD, ALDEN EHRENREICH, DANIELS, ETHAN HAWKE AND JONATHAN MARC SHERMAN, MARK DUPLASS, ROB DELANEY"
La piscine,Jacques Deray,6,"CHARLES MELTON, CILLIAN MURPHY, KRISTIN SCOTT THOMAS, PAMELA ANDERSON, SUSANNA HOFFS, VICKY KRIEPS"
Raging Bull,Martin Scorsese,6,"JAMIE LEE CURTIS, JOHNNIE TO, NATASHA LYONNE, RODRIGO PRIETO, ROGER CORMAN, WALTER SALLES"
